"","site_name","latitude","longitude"
"269","Kicking Horse Mine",44.38329,-103.78475
"270","Iron Hill Mine",44.39552,-103.8678
"271","Richmond Hill Mine",44.39996,-103.85058
"272","Richmond Hill Mine",44.396,-103.852
"273","Spanish R Mine",44.39718,-103.86864
"274","Eagle Bird Mine",44.3769,-103.8553
"275","Jupiter Mine",44.37774,-103.76836
"276","Canyon Corp",44.39576,-103.79808
"277","Garden City",44.39306,-103.80278
"278","Richmond Hill",44.39166,-103.85478
"279","Adelphia",44.39746,-103.86448
"280","Eagle Bird M S 1829",44.37526,-103.85698
"281","Elliptic Mining Company",44.41996,-103.77338
"282","Penobscot",44.39576,-103.79918
"283","Keystone",44.39136,-103.80558
"284","Carrol MS 1439",44.37666,-103.77058
"285","Imperial",44.38136,-103.78198
"286","Blacktail",44.38216,-103.78868
"287","Spanish R",44.39716,-103.86778
"288","American Express",44.37856,-103.78388
"289","Minerva  M.S.1030",44.37856,-103.75777
"290","Jupiter",44.37686,-103.76528
"291","Titanic",44.39746,-103.86338
"292","Wells Fargo MS 946",44.38216,-103.78588
"293","Golden Gate",44.38416,-103.78588
"294","Segregated Iron Hill",44.39746,-103.85868
"295","Seabury-Calkins",44.39776,-103.85998
"296","Iron Hill",44.39776,-103.86028
"297","Old Ironsides  M.S.1384",44.38636,-103.87228
"298","Minnesota",44.39806,-103.80558
"299","Kicking Horse  M.S.1268",44.38246,-103.78588
